name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manchester,2021-07-20,27.1,14.6,21.2,27.4,14.6,21.2,15.4,72.5,0,0,0,,0,0,25.6,14.4,325.8,1020.2,25.6,27.9,279.3,24.1,8,,2021-07-20T05:06:14,2021-07-20T21:23:40,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F5450,F0705,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-07-21,27.7,13.1,20.7,28.3,13.1,20.9,16.2,77.7,0,0,0,,0,0,23,9.4,113.5,1022.9,54.2,17.3,221.3,19,7,,2021-07-21T05:07:41,2021-07-21T21:22:18,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03346099999,03318099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-07-22,29.3,15.3,22.8,29.6,15.3,22.9,16.5,70.6,0.01,100,4.17,rain,0,0,28.8,15.4,79.6,1022.4,27.3,20.8,238.2,20.5,8,,2021-07-22T05:09:09,2021-07-22T21:20:53,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03346099999,F5450,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-07-23,22.1,15.7,18.8,22.1,15.7,18.8,14.7,77.9,0,0,0,,0,0,34,17.6,102.6,1017.9,59.8,20.5,228.1,19.8,6,,2021-07-23T05:10:39,2021-07-23T21:19:26,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F5450,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-07-24,20.6,13,16.8,20.6,13,16.8,11.6,72.3,0,0,0,,0,0,43.5,19.1,85.8,1011.7,79,34.5,134.3,11.5,5,,2021-07-24T05:12:10,2021-07-24T21:17:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-07-25,22.3,11.9,17.2,22.3,11.9,17.2,12.2,74.2,0,0,0,,0,0,19.8,14.8,359.7,1009.7,68.6,25.1,189.6,16.4,7,,2021-07-25T05:13:42,2021-07-25T21:16:24,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-07-26,24.2,13.7,18.4,24.2,13.7,18.4,14.1,77.6,0,0,0,,0,0,28.8,13.9,298.5,1009.4,61.7,19,171.3,14.6,6,,2021-07-26T05:15:15,2021-07-26T21:14:50,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03318099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-07-27,20.4,13.7,16.4,20.4,13.7,16.4,14.3,88.1,2.743,100,16.67,rain,0,0,30.2,10.8,263.6,1007.5,76.9,9.6,87.5,7.7,4,,2021-07-27T05:16:49,2021-07-27T21:13:14,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-07-28,17.3,11.9,14.2,17.3,11.9,14.2,12,87.1,25.233,100,54.17,rain,0,0,55.4,17.1,250.1,1004,77.8,28.1,94.8,8.2,3,,2021-07-28T05:18:24,2021-07-28T21:11:35,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-07-29,16.9,11.8,14.1,16.9,11.8,14.1,11.2,83.1,4.686,100,20.83,rain,0,0,57.3,30.2,268.3,1006.4,79.1,31.3,74.4,6.3,2,,2021-07-29T05:20:01,2021-07-29T21:09:55,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
