name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manchester,2000-08-01,20.3,15,17.3,20.3,15,17.3,11.1,68.5,2.485,100,4.17,rain,0,0,,20.7,222.5,1015.1,55.4,38.6,,,,,2000-08-01T05:24:56,2000-08-01T21:04:29,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-02,18.6,13.8,15.9,18.6,13.8,15.9,11.8,77,2.425,100,8.33,rain,0,0,,29.4,198.3,1009.7,71.2,30.5,,,,,2000-08-02T05:26:36,2000-08-02T21:02:40,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-03,18.8,13.2,16.1,18.8,13.2,16.1,12.4,79.3,6.63,100,12.5,rain,0,0,,21.8,323.5,1013.8,72.1,17.7,,,,,2000-08-03T05:28:15,2000-08-03T21:00:50,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-04,16.9,12.6,15,16.9,12.6,15,11.4,79.6,0.026,100,4.17,rain,0,0,,18.9,283.9,1023.5,81.6,23.7,,,,,2000-08-04T05:29:56,2000-08-04T20:58:58,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-05,21.1,13.7,16.7,21.1,13.7,16.7,12.7,78.3,0,0,0,,0,0,,15.3,285,1024.8,86.2,21.9,,,,,2000-08-05T05:31:37,2000-08-05T20:57:05,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-06,20.6,16.2,18,20.6,16.2,18,15.8,87.8,0.055,100,8.33,rain,0,0,,18.5,283.7,1025,88.9,17.4,,,,,2000-08-06T05:33:18,2000-08-06T20:55:10,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-07,18.7,15.4,16.8,18.7,15.4,16.8,14.8,87.9,1.083,100,12.5,rain,0,0,,15.7,285.6,1024.7,89.5,19.1,,,,,2000-08-07T05:35:00,2000-08-07T20:53:13,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-08,20.9,14.2,17.3,20.9,14.2,17.3,14.8,85.8,0.158,100,8.33,rain,0,0,,8.8,215.5,1020.8,80.8,17.1,,,,,2000-08-08T05:36:42,2000-08-08T20:51:14,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-09,19.7,14.6,17.1,19.7,14.6,17.1,14.8,86.6,0,0,0,,0,0,,26.4,201.2,1016,90.3,19,,,,,2000-08-09T05:38:25,2000-08-09T20:49:15,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-10,17.2,15.4,16.3,17.2,15.4,16.3,14,86.6,0.78,100,8.33,rain,0,0,,23.7,276.7,1015.3,92.7,17.2,,,,,2000-08-10T05:40:08,2000-08-10T20:47:13,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-11,21.2,14.1,17.3,21.2,14.1,17.3,12.8,76.5,0,0,0,,0,0,,11.5,247.9,1015.6,62.9,20.5,,,,,2000-08-11T05:41:51,2000-08-11T20:45:11,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-12,21.6,12.1,16.7,21.6,12.1,16.7,13.3,81.4,0.55,100,4.17,rain,0,0,,18.5,197.7,1012.8,58,18,,,,,2000-08-12T05:43:35,2000-08-12T20:43:07,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-13,21.4,16.5,18.5,21.4,16.5,18.5,15.8,84.3,1.693,100,12.5,rain,0,0,,22.5,170.9,1012.4,87.7,18.1,,,,,2000-08-13T05:45:18,2000-08-13T20:41:02,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-14,20.6,16.2,17.9,20.6,16.2,17.9,16.1,89.4,14.842,100,16.67,rain,0,0,,26.2,205.7,1011.7,83.6,16.3,,,,,2000-08-14T05:47:02,2000-08-14T20:38:55,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-15,18.5,12.8,15.6,18.5,12.8,15.6,12.8,83.8,1.939,100,4.17,rain,0,0,,23.2,216.7,1016.4,76.9,23.1,,,,,2000-08-15T05:48:46,2000-08-15T20:36:47,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-16,19.1,11.8,15.1,19.1,11.8,15.1,11.2,78.8,0.505,100,8.33,rain,0,0,,25.9,209.1,1011.2,51.7,27.8,,,,,2000-08-16T05:50:31,2000-08-16T20:34:38,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-17,19.6,11.3,15.1,19.6,11.3,15.1,9.8,72.5,0.129,100,4.17,rain,0,0,,23.4,224.5,1008.8,62.6,33.7,,,,,2000-08-17T05:52:15,2000-08-17T20:32:28,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-18,17.8,12.1,14.8,17.8,12.1,14.8,10.7,77,0,0,0,,0,0,,16.7,195.2,1009.8,75.1,34.1,,,,,2000-08-18T05:53:59,2000-08-18T20:30:17,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-19,17.8,12.2,14.5,17.8,12.2,14.5,10.8,79.9,2.053,100,8.33,rain,0,0,,21.7,283.1,1009.7,62.9,24.4,,,,,2000-08-19T05:55:44,2000-08-19T20:28:05,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-20,17.9,8.7,13.6,17.9,8.4,13.5,9,75.3,0.834,100,8.33,rain,0,0,,12.8,262.1,1013.7,50,27.4,,,,,2000-08-20T05:57:28,2000-08-20T20:25:52,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-21,18.3,8.8,13.6,18.3,7.9,13.5,9.2,76.1,2.114,100,8.33,rain,0,0,,23.1,138.1,1013.7,53,20.7,,,,,2000-08-21T05:59:13,2000-08-21T20:23:38,0.72,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-22,19.6,9.4,14.8,19.6,8.7,14.7,9.5,71.9,0.515,100,4.17,rain,0,0,,14.9,84.7,1019.6,45.2,18.9,,,,,2000-08-22T06:00:58,2000-08-22T20:21:23,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-23,21.5,12.6,16.5,21.5,12.6,16.5,10.6,69.6,0,0,0,,0,0,,17.9,79.8,1024.8,22.9,20.6,,,,,2000-08-23T06:02:42,2000-08-23T20:19:07,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-24,22.6,10.7,16.8,22.6,10.7,16.8,10.5,68.1,0,0,0,,0,0,,12.3,318.4,1024.6,51.4,18.8,,,,,2000-08-24T06:04:27,2000-08-24T20:16:50,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-25,25.4,11.2,18.7,25.4,11.2,18.7,11.4,64.8,0,0,0,,0,0,,25.7,107.9,1019.5,47.1,21.1,,,,,2000-08-25T06:06:12,2000-08-25T20:14:33,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2000-08-26,20.2,15.9,17.7,20.2,15.9,17.7,14.8,83.5,3.592,100,8.33,rain,0,0,,28.3,157.3,1008.3,90.3,9.3,,,,,2000-08-26T06:07:56,2000-08-26T20:12:14,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03334099999,03318099999,03344099999,03323399999,03321099999"
Manchester,2000-08-27,18,12.9,15.4,18,12.9,15.4,11.6,79.3,0,0,0,,0,0,,21.6,216.2,1012.4,63.4,19.3,,,,,2000-08-27T06:09:41,2000-08-27T20:09:55,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03323399999,03321099999"
Manchester,2000-08-28,18.9,11.5,14.3,18.9,11.5,14.3,11,81.7,0.152,100,8.33,rain,0,0,,16.8,242.2,1016.4,54.8,26.4,,,,,2000-08-28T06:11:26,2000-08-28T20:07:36,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03323399999,03321099999"
Manchester,2000-08-29,18.6,10.6,14.4,18.6,10.6,14.4,11,81.4,0.265,100,4.17,rain,0,0,,14.3,235.7,1020,62.7,15.3,,,,,2000-08-29T06:13:10,2000-08-29T20:05:15,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03334099999,03318099999,03323399999,03316099999,03321099999"
Manchester,2000-08-30,20,10.7,15.4,20,10.7,15.4,9.8,70.7,0,0,0,,0,0,,10.9,167.5,1019.7,50.7,17.4,,,,,2000-08-30T06:14:55,2000-08-30T20:02:54,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03323399999,03316099999,03321099999"
Manchester,2000-08-31,17.3,13,14.7,17.3,13,14.7,10.9,78.4,4.661,100,8.33,rain,0,0,,28.4,165.4,1007.7,87.4,13.1,,,,,2000-08-31T06:16:40,2000-08-31T20:00:33,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03323399999,03316099999,03321099999"
Manchester,2000-09-01,15.8,11.6,13.5,15.8,11.6,13.5,11.7,89.2,3.004,100,12.5,rain,0,0,,14.2,201.8,999.2,79.6,13.5,,,,,2000-09-01T06:18:24,2000-09-01T19:58:10,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03323399999,03316099999,03321099999"
