name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manchester,2001-08-01,23.6,10.2,17.4,23.6,10.2,17.4,11.6,70.2,0,0,0,,0,0,,14.3,215.6,1024.2,49.4,25.2,,,,,2001-08-01T05:24:33,2001-08-01T21:04:55,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-02,21.9,15.6,18.1,21.9,15.6,18.1,11.9,68.2,0.104,100,4.17,rain,0,0,,23.1,180.5,1012.5,87.8,18.4,,,,,2001-08-02T05:26:12,2001-08-02T21:03:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-03,17.8,13.8,16.1,17.8,13.8,16.1,13.1,83.1,1.927,100,8.33,rain,0,0,,20.4,270.4,1008.8,82.3,18.1,,,,,2001-08-03T05:27:51,2001-08-03T21:01:18,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-04,17.9,11.1,14.1,17.9,11.1,14.1,10.8,81.3,3.243,100,12.5,rain,0,0,,16,205.7,1012.8,74.6,24.4,,,,,2001-08-04T05:29:32,2001-08-04T20:59:26,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-05,19.2,10.9,14.9,19.2,10.9,14.9,10.4,76.9,1.225,100,8.33,rain,0,0,,19.9,262.5,1014,72.5,27.5,,,,,2001-08-05T05:31:13,2001-08-05T20:57:33,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-06,16.6,12.4,14.3,16.6,12.4,14.3,12.9,91.4,10.236,100,12.5,rain,0,0,,16.6,40.1,1008.4,96.9,11.6,,,,,2001-08-06T05:32:54,2001-08-06T20:55:38,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-07,17.7,11.9,14.8,17.7,11.9,14.8,13.3,90.8,13.846,100,8.33,rain,0,0,,19.9,178.5,1001.7,83.2,14.1,,,,,2001-08-07T05:34:36,2001-08-07T20:53:42,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-08,16.9,12.7,14.4,16.9,12.7,14.4,11.1,81.6,2.97,100,12.5,rain,0,0,,20.9,284.3,1001.1,80.6,25.4,,,,,2001-08-08T05:36:18,2001-08-08T20:51:44,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-09,17.6,11.5,14.3,17.6,11.5,14.3,9.8,75.7,1.298,100,12.5,rain,0,0,,22.1,289.3,1012.1,62.9,31.1,,,,,2001-08-09T05:38:00,2001-08-09T20:49:44,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
Manchester,2001-08-10,18,10.2,14,18,10.2,14,8.5,70.7,0.876,100,4.17,rain,0,0,,24.1,282.7,1023.1,45.5,39.4,,,,,2001-08-10T05:39:43,2001-08-10T20:47:43,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03334099999,03318099999,03344099999,03323399999,03316099999,03321099999"
